,Company,model,Year,Expert_rating,Symbol
215,buick,LaCrosse,2019,8.1,GM
216,buick,LaCrosse,2012,8.2,GM
217,buick,Regal,2012,8.0,GM
218,buick,Enclave,2012,8.6,GM
219,buick,Enclave,2019,7.9,GM
220,buick,LaCrosse,2007,7.5,GM
221,buick,LaCrosse,2014,9.0,GM
222,buick,Enclave,2021,8.0,GM
223,buick,Enclave,2016,8.4,GM
224,buick,Regal,2016,8.1,GM
225,buick,LaCrosse,2016,9.0,GM
226,buick,Enclave,2015,8.5,GM
227,buick,Regal,2015,8.2,GM
228,buick,LaCrosse,2015,8.9,GM
229,buick,Enclave,2008,8.6,GM
230,buick,Enclave,2011,8.6,GM
231,buick,Regal,2011,8.1,GM
232,buick,LaCrosse,2011,9.2,GM
233,cadillac,Escalade,2013,8.0,GM
234,cadillac,CTS,2018,7.7,GM
235,cadillac,ATS,2018,7.4,GM
236,cadillac,Escalade,2021,8.3,GM
237,cadillac,Escalade,2007,9.1,GM
238,cadillac,CTS,2007,8.0,GM
239,cadillac,CTS,2010,8.8,GM
240,cadillac,Escalade,2012,8.6,GM
241,cadillac,CTS,2012,8.2,GM
242,cadillac,Escalade,2015,8.2,GM
243,cadillac,CTS,2019,7.6,GM
244,cadillac,ATS,2019,7.1,GM
245,cadillac,Escalade,2019,6.9,GM
246,cadillac,CTS,2008,9.0,GM
247,cadillac,CTS,2015,8.6,GM
248,cadillac,CTS,2013,8.4,GM
249,cadillac,Escalade,2010,8.3,GM
250,cadillac,ATS,2015,7.8,GM
251,cadillac,Escalade,2008,9.3,GM
252,cadillac,ATS,2013,7.3,GM
253,cadillac,Escalade,2018,7.2,GM
254,cadillac,CTS,2011,8.8,GM
255,cadillac,Escalade,2020,6.7,GM
256,cadillac,Escalade,2022,8.5,GM
257,cadillac,CTS,2014,8.4,GM
258,cadillac,ATS,2014,7.3,GM
259,cadillac,Escalade,2014,8.0,GM
260,cadillac,Escalade,2016,7.6,GM
261,cadillac,ATS,2016,7.5,GM
262,cadillac,CTS,2016,8.2,GM
263,cadillac,CTS,2009,8.7,GM
264,cadillac,Escalade,2011,9.1,GM
265,cadillac,Escalade,2017,7.1,GM
266,cadillac,ATS,2017,7.9,GM
267,cadillac,CTS,2017,7.9,GM
268,cadillac,Escalade,2009,9.0,GM
269,chevrolet,Malibu,2015,8.6,GM
270,chevrolet,Malibu,2008,9.2,GM
271,chevrolet,Silverado 1500,2011,8.7,GM
272,chevrolet,Silverado 1500,2008,9.2,GM
273,chevrolet,Tahoe,2015,8.5,GM
274,chevrolet,Silverado 1500,2015,8.5,GM
275,chevrolet,Malibu,2022,7.3,GM
276,chevrolet,Silverado 1500,2018,8.2,GM
277,chevrolet,Silverado 1500,2014,8.9,GM
278,chevrolet,Tahoe,2009,8.2,GM
