,Symbol,Date,Change_%
145,F,2021,-20.674104673586434
146,F,2022,32.5870646766169
147,GM,2002,0.0
148,GM,2003,2.7113422024932055
149,GM,2004,1.3031527480615868
150,GM,2005,-2.0995488896585535
151,GM,2006,-0.6852161063908402
152,GM,2007,-1.4973885642686202
153,GM,2008,-0.9077904418738125
154,GM,2009,-3.1451579604732105
155,GM,2010,-2.1508103070399853
156,GM,2011,-3.236421597851191
157,GM,2012,-1.8391941948683987
158,GM,2013,1.898376168988336
159,GM,2014,-3.569982506197855
160,GM,2015,2.9970919613480307
161,GM,2016,14.257682151230512
162,GM,2017,-4.20002746240794
163,GM,2018,-0.5609165764292823
164,GM,2019,-4.034251019086021
165,GM,2020,4.398965902154717
166,GM,2021,-12.357099575843256
167,GM,2022,19.469026548672574
168,HMC,2002,0.0
