,Date,Symbol,Open
591,2010-02-05,7261.T,1175.0
593,2010-02-08,TM,73.93000030517578
594,2010-02-08,VOW3.DE,59.34305191040039
595,2010-02-08,DAI.DE,32.790000915527344
596,2010-02-08,F,11.09000015258789
597,2010-02-08,BMW.DE,29.9950008392334
598,2010-02-08,HMC,33.9900016784668
599,2010-02-08,HYMTF,16.84000015258789
602,2010-02-08,000270.KS,20750.0
605,2010-02-08,7201.T,731.0
609,2010-02-08,7270.T,414.0
615,2010-02-08,7261.T,1175.0
617,2010-02-09,TM,75.0
618,2010-02-09,VOW3.DE,58.41861343383789
619,2010-02-09,DAI.DE,33.56999969482422
620,2010-02-09,F,11.18000030517578
621,2010-02-09,BMW.DE,29.7549991607666
622,2010-02-09,HMC,34.18000030517578
623,2010-02-09,HYMTF,17.25
626,2010-02-09,000270.KS,21000.0
629,2010-02-09,7201.T,714.0
633,2010-02-09,7270.T,399.0
639,2010-02-09,7261.T,1110.0
641,2010-02-10,TM,75.81999969482422
642,2010-02-10,VOW3.DE,57.65321350097656
643,2010-02-10,DAI.DE,33.41999816894531
644,2010-02-10,F,11.119999885559082
645,2010-02-10,BMW.DE,29.88999938964844
646,2010-02-10,HMC,33.79999923706055
647,2010-02-10,HYMTF,17.0
650,2010-02-10,000270.KS,21000.0
653,2010-02-10,7201.T,746.0
657,2010-02-10,7270.T,413.0
663,2010-02-10,7261.T,1125.0
665,2010-02-11,TM,75.94999694824219
666,2010-02-11,VOW3.DE,58.64723587036133
667,2010-02-11,DAI.DE,33.86000061035156
668,2010-02-11,F,11.0
669,2010-02-11,BMW.DE,29.80500030517578
670,2010-02-11,HMC,33.650001525878906
671,2010-02-11,HYMTF,17.0
674,2010-02-11,000270.KS,20700.0
683,2010-02-12,TM,76.26000213623047
684,2010-02-12,VOW3.DE,57.64327621459961
685,2010-02-12,DAI.DE,32.93000030517578
686,2010-02-12,F,10.920000076293944
687,2010-02-12,BMW.DE,29.59000015258789
688,2010-02-12,HMC,33.45000076293945
689,2010-02-12,HYMTF,17.0
691,2010-02-12,000270.KS,21000.0
694,2010-02-12,7201.T,745.0
697,2010-02-12,7270.T,416.0
702,2010-02-12,7261.T,1155.0
704,2010-02-15,VOW3.DE,55.77451705932617
705,2010-02-15,DAI.DE,32.54999923706055
706,2010-02-15,BMW.DE,29.0
708,2010-02-15,7201.T,730.0
711,2010-02-15,7270.T,407.0
713,2010-02-15,7261.T,1135.0
714,2010-02-16,TM,76.73999786376953
715,2010-02-16,VOW3.DE,55.98326110839844
716,2010-02-16,DAI.DE,32.25
717,2010-02-16,F,11.210000038146973
718,2010-02-16,BMW.DE,28.89999961853028
719,2010-02-16,HMC,33.63999938964844
720,2010-02-16,HYMTF,17.0
722,2010-02-16,000270.KS,21100.0
724,2010-02-16,7201.T,720.0
727,2010-02-16,7270.T,402.0
730,2010-02-16,7261.T,1135.0
732,2010-02-17,TM,74.98999786376953
733,2010-02-17,VOW3.DE,56.65919494628906
734,2010-02-17,DAI.DE,33.10499954223633
735,2010-02-17,F,11.43000030517578
736,2010-02-17,BMW.DE,29.68000030517578
737,2010-02-17,HMC,34.79999923706055
738,2010-02-17,HYMTF,17.0
